"DENOM_COMERC","CD_CVM","SETOR_ATIV","AUDITOR"
"AZUL S.A.",24112,"Emp. Adm. Part. - Serviços Transporte e Logística","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"B3",21610,"Bolsas de Valores/Mercadorias e Futuros","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BACRAFT",680,"Papel e Celulose","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BAESA",19607,"Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BAHEMA AGROPECUARIA",698,"Agricultura (Açúcar, Álcool e Cana)","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BAHEMA",701,"Emp. Adm. Part. - Educação","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"BAHEMA EQUIPAMENTOS SA",18155,"Máquinas, Equipamentos, Veículos e Peças","AUDILINK & CIA. AUDITORES"
"BAHIA OTHON PALACE",710,"Hospedagem e Turismo",""
"BAHIA TRUST",16098,"Serviços Diversos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BALADARE PARTICIPAÇÕES S/A",21571,"Emp. Adm. Part. - Sem Setor Principal","KPMG AUDITORES ASSOCIADOS"
"BAMERINDUS IMOB",752,"Crédito Imobiliário","ARTHUR YOUNG AUD ASSOCIADOS SC"
"BAMERINDUS FCI",760,"Bancos","ARTHUR YOUNG AUD ASSOCIADOS SC"
"BAMERINDUS SA PARTICIPAÇÕES E EMPREENDIMENTOS - EM LIQUIDAÇÃO EXTRAJUDICIAL",744,"Emp. Adm. Part. - Intermediação Financeira",""
"BANCO ABC BRASIL S/A",20958,"Bancos","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"BANCO AGIBANK S.A.",24465,"Intermediação Financeira","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"BCO AGRIMISA",779,"Bancos","FERNANDO MOTTA & ASSOCIADOS - AUDITORES INDEPENDENTES"
"BANCO ALFA DE INVESTIMENTO S.A.",1384,"Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"BANCO BILBAO VIZCAYA ARGENTARIA BRASILSA",15512,"Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"BCO BAMERINDUS DO BRASIL S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL",825,"Bancos","BAZZANEZE AUDITORES INDEPENDENTES S/S"
"BCO BANDEIRANTES INVESTIMENTOS",833,"Bancos","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BANEB",1066,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BANCO BANESTADO",1180,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
